exp_type,wrkl_type,wrkl,wrkl_size,num_threads,num_files,count,avg_ops_sec
no-fuse,preall,de,4KB,32th,2Mf,1,0
no-fuse,preall,re,4KB,1th,1Mf,1,16912.1
no-fuse,preall,re,4KB,32th,1Mf,1,52516.9
no-fuse,rd,re,128KB,1th,1f,1,1658.75
no-fuse,rd,re,128KB,32th,1f,1,2608.91
no-fuse,rd,re,1MB,1th,1f,1,247.318
no-fuse,rd,re,1MB,32th,1f,1,292.855
no-fuse,rd,re,32KB,1th,1f,1,4840.6
no-fuse,rd,re,32KB,32th,1f,1,9361.86
no-fuse,rd,re,4KB,1th,1f,1,10574.8
no-fuse,rd,re,4KB,32th,1f,1,56683.9
no-fuse,rd,wr,128KB,1th,1f,1,2136.87
no-fuse,rd,wr,128KB,32th,1f,1,2198.27
no-fuse,rd,wr,1MB,1th,1f,1,268.499
no-fuse,rd,wr,1MB,32th,1f,1,268.084
no-fuse,rd,wr,32KB,1th,1f,1,8191.33
no-fuse,rd,wr,32KB,32th,1f,1,8284.46
no-fuse,rd,wr,4KB,1th,1f,1,54516
no-fuse,rd,wr,4KB,32th,1f,1,54093.9
no-fuse,sq,re,128KB,1th,1f,1,2145.1
no-fuse,sq,re,128KB,32th,32f,1,2158.44
no-fuse,sq,re,1MB,1th,1f,1,268.14
no-fuse,sq,re,1MB,32th,32f,1,270.116
no-fuse,sq,re,32KB,1th,1f,1,8579.99
no-fuse,sq,re,32KB,32th,32f,1,8633.29
no-fuse,sq,re,4KB,1th,1f,1,68643.4
no-fuse,sq,re,4KB,32th,32f,1,69065.8
no-fuse,sq,wr,128KB,1th,1f,1,2017.53
no-fuse,sq,wr,128KB,32th,32f,1,2136.94
no-fuse,sq,wr,1MB,1th,1f,1,245.748
no-fuse,sq,wr,1MB,32th,32f,1,256.214
no-fuse,sq,wr,32KB,1th,1f,1,7923.61
no-fuse,sq,wr,32KB,32th,32f,1,8190.13
no-fuse,sq,wr,4KB,1th,1f,1,63876.1
no-fuse,sq,wr,4KB,32th,32f,1,65521.9
opts-fuse,cr,wr,4KB,1th,4Mf,1,0
opts-fuse,cr,wr,4KB,32th,4Mf,1,0
opts-fuse,preall,de,4KB,1th,4Mf,1,0
opts-fuse,preall,de,4KB,32th,4Mf,1,0
opts-fuse,preall,re,4KB,1th,1Mf,1,12499.2
opts-fuse,preall,re,4KB,32th,1Mf,1,30991.2
opts-fuse,rd,re,128KB,1th,1f,1,1270.78
opts-fuse,rd,re,128KB,32th,1f,1,2489.55
opts-fuse,rd,re,1MB,1th,1f,1,214.082
opts-fuse,rd,re,1MB,32th,1f,1,281.904
opts-fuse,rd,re,32KB,1th,1f,1,3707.22
opts-fuse,rd,re,32KB,32th,1f,1,8936.41
opts-fuse,rd,re,4KB,1th,1f,1,7326.74
opts-fuse,rd,re,4KB,32th,1f,1,56721
opts-fuse,rd,wr,128KB,1th,1f,1,2136.77
opts-fuse,rd,wr,128KB,32th,1f,1,2136.99
opts-fuse,rd,wr,1MB,1th,1f,1,272.683
opts-fuse,rd,wr,1MB,32th,1f,1,268.597
opts-fuse,rd,wr,32KB,1th,1f,1,7978.24
opts-fuse,rd,wr,32KB,32th,1f,1,8189.86
opts-fuse,rd,wr,4KB,1th,1f,1,47841.4
opts-fuse,rd,wr,4KB,32th,1f,1,40703.4
opts-fuse,sq,re,128KB,1th,1f,1,2152.08
opts-fuse,sq,re,128KB,32th,32f,1,2152.24
opts-fuse,sq,re,1MB,1th,1f,1,269.021
opts-fuse,sq,re,1MB,32th,32f,1,269.298
opts-fuse,sq,re,32KB,1th,1f,1,8547.58
opts-fuse,sq,re,32KB,32th,32f,1,8607.78
opts-fuse,sq,re,4KB,1th,1f,1,68380.5
opts-fuse,sq,re,4KB,32th,32f,1,68853.6
opts-fuse,sq,wr,128KB,1th,1f,1,2047.7
opts-fuse,sq,wr,128KB,32th,32f,1,2143.82
opts-fuse,sq,wr,1MB,1th,1f,1,255.969
opts-fuse,sq,wr,1MB,32th,32f,1,267.377
opts-fuse,sq,wr,32KB,1th,1f,1,8269.92
opts-fuse,sq,wr,32KB,32th,32f,1,8545.81
opts-fuse,sq,wr,4KB,1th,1f,1,65524.6
opts-fuse,sq,wr,4KB,32th,32f,1,68618.2
