#ops,ops/sec,mb/sec,us/op,ms/op
,,,19.3,
35073,3503.822,4.5,0,0.0
60433,6037.314,7.8,0,0.0
40628,4058.781,5.2,0,0.0
31323,3129.166,4.0,0,0.0
31644,3161.299,4.1,0,0.0
31149,3111.818,4.0,0,0.0
31659,3162.737,4.1,0,0.0
31167,3113.615,4.0,0,0.0
31263,3123.232,4.0,0,0.0
30954,3092.332,4.0,0,0.0
31185,3115.391,4.0,0,0.0
30987,3095.631,4.0,0,0.0
34041,3400.751,4.4,0,0.0
45327,4528.213,5.9,0,0.0
42573,4253.083,5.5,0,0.0
26199,2617.305,3.4,0,0.0
28553,2852.471,3.7,0,0.0
27080,2705.320,3.5,0,0.0
25370,2534.482,3.3,0,0.0
40778,4073.738,5.3,0,0.0
36790,3675.386,4.7,0,0.0
27161,2713.407,3.5,0,0.0
27434,2740.686,3.5,0,0.0
37173,3713.617,4.8,0,0.0
33358,3332.465,4.3,0,0.0
24556,2453.197,3.1,0,0.0
37040,3700.311,4.8,0,0.0
25468,2544.292,3.3,0,0.0
35649,3561.374,4.6,0,0.0
30348,3031.795,3.9,0,0.0
30156,3012.614,3.9,0,0.0
13389,1337.572,1.7,0,0.0
47541,4749.364,6.1,0,0.0
30207,3017.728,3.9,0,0.0
30504,3047.382,3.9,0,0.0
30438,3040.785,3.9,0,0.0
30093,3006.316,3.9,0,0.0
30381,3035.094,3.9,0,0.0
29721,2969.158,3.8,0,0.0
30237,3020.704,3.9,0,0.0
29895,2986.514,3.8,0,0.0
30354,3032.422,3.9,0,0.0
29904,2987.439,3.8,0,0.0
47688,4764.078,6.2,0,0.0
33354,3332.091,4.3,0,0.0
30724,3069.338,4.0,0,0.0
29924,2989.460,3.8,0,0.0
29916,2988.610,3.8,0,0.0
29949,2991.942,3.8,0,0.0
29871,2984.134,3.8,0,0.0
29841,2981.175,3.8,0,0.0
29949,2991.928,3.8,0,0.0
29319,2929.004,3.8,0,0.0
29493,2946.379,3.8,0,0.0
29571,2954.146,3.8,0,0.0
29823,2979.375,3.8,0,0.0
29490,2946.055,3.8,0,0.0
29544,2951.497,3.8,0,0.0
29682,2965.262,3.8,0,0.0
29679,2964.961,3.8,0,0.0
29544,2951.455,3.8,0,0.0
29637,2960.784,3.8,0,0.0
29403,2937.366,3.8,0,0.0
29370,2934.096,3.8,0,0.0
29529,2949.973,3.8,0,0.0
29463,2943.382,3.8,0,0.0
29043,2901.423,3.7,0,0.0
29187,2915.829,3.8,0,0.0
29307,2927.800,3.8,0,0.0
29007,2897.824,3.7,0,0.0
29373,2934.393,3.8,0,0.0
29247,2921.802,3.8,0,0.0
29079,2905.024,3.7,0,0.0
29049,2902.023,3.7,0,0.0
29088,2905.896,3.7,0,0.0
29181,2915.233,3.7,0,0.0
29277,2924.774,3.8,0,0.0
29055,2902.630,3.7,0,0.0
29187,2915.811,3.8,0,0.0
28959,2893.033,3.7,0,0.0
28983,2895.424,3.7,0,0.0
29007,2897.831,3.7,0,0.0
28896,2886.764,3.7,0,0.0
28887,2885.839,3.7,0,0.0
28905,2887.637,3.7,0,0.0
27405,2737.784,3.5,0,0.0
19176,1915.685,2.4,0,0.0
10898,1088.731,1.4,0,0.0
28836,2880.745,3.7,0,0.0
46710,4666.335,6.0,0,0.0
29622,2959.293,3.8,0,0.0
28770,2874.130,3.7,0,0.0
5754,958.052,1.2,0,0.0
